City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
87,mataura,61,NZ,1585854206,95,-46.19,168.86,53.01,3.0
88,kendari,100,ID,1585854206,89,-3.94,122.5,76.28,1.07
89,port hedland,26,AU,1585854039,83,-20.32,118.57,75.2,1.12
90,arman,22,RU,1585854206,89,59.7,150.17,14.61,6.64
91,mantua,0,IT,1585854206,45,45.17,10.78,53.6,3.36
92,fallon,20,US,1585854064,24,39.47,-118.78,46.4,4.7
93,belgaum,14,IN,1585854206,58,15.87,74.5,73.26,3.65
94,albeni,24,RO,1585854207,60,45.03,23.6,40.44,1.68
95,neuquen,0,AR,1585854207,16,-38.95,-68.06,75.87,9.44
96,hofn,37,IS,1585854207,84,64.25,-15.21,27.3,24.83
97,buala,100,SB,1585854207,88,-8.14,159.59,80.35,21.56
98,narsaq,75,GL,1585854207,42,60.92,-46.05,28.4,6.93
99,beloha,29,MG,1585854207,74,-25.17,45.05,68.52,14.18
100,antrim,40,GB,1585854207,81,54.67,-6.25,46.4,9.17
101,olafsvik,80,IS,1585854207,88,64.89,-23.71,29.57,20.11
102,lavrentiya,76,RU,1585854043,96,65.58,-171.0,13.77,1.7
103,dhanera,0,IN,1585854208,17,24.52,72.02,82.71,10.09
104,maceio,75,BR,1585854208,70,-9.67,-35.74,84.2,9.17
105,esperance,75,AU,1585854208,82,-33.87,121.9,57.2,16.11
106,langsa,92,ID,1585854208,86,4.47,97.97,77.36,2.95
107,ende,81,ID,1585854208,72,-8.84,121.66,82.4,2.42
108,sembe,95,CG,1585854208,57,1.65,14.58,81.88,3.06
109,ulladulla,40,AU,1585854208,100,-35.35,150.47,61.0,2.24
110,goksun,75,TR,1585854208,76,38.02,36.5,51.8,5.82
111,ouesso,91,CG,1585854209,62,1.61,16.05,81.03,1.97
112,bilibino,100,RU,1585854040,88,68.05,166.44,1.11,1.86
113,libreville,20,GA,1585854171,79,0.39,9.45,84.2,5.82
114,tocopilla,4,CL,1585854209,37,-22.09,-70.2,84.15,6.73
115,svetlogorsk,76,BY,1585854209,76,52.63,29.73,36.86,8.25
116,port moresby,40,PG,1585854066,100,-9.44,147.18,73.4,5.82
117,maroantsetra,49,MG,1585854209,84,-15.43,49.73,75.94,1.12
118,abengourou,93,CI,1585854209,64,6.73,-3.5,84.54,4.16
119,nanortalik,0,GL,1585854209,81,60.14,-45.24,25.65,14.54
120,saint-augustin,98,CA,1585854210,95,51.23,-58.65,37.81,16.08
121,fort nelson,5,CA,1585854210,38,58.81,-122.7,6.8,5.82
122,beringovskiy,100,RU,1585854210,98,63.05,179.32,27.91,17.4
123,bay roberts,90,CA,1585854210,100,47.6,-53.26,42.01,14.99
124,port macquarie,72,AU,1585854210,100,-31.43,152.92,66.2,6.71
125,geraldton,100,AU,1585854079,77,-28.77,114.6,60.8,10.29
126,pokhara,48,NP,1585854082,25,28.23,83.98,58.55,3.29
127,pemangkat,99,ID,1585854210,83,1.17,108.97,78.71,5.14
128,ponta do sol,75,PT,1585854102,72,32.67,-17.1,62.6,9.17
129,santa cruz de tenerife,20,ES,1585854210,82,28.47,-16.25,68.0,5.82
130,launceston,90,AU,1585854210,93,-41.45,147.17,55.99,12.75
131,airai,73,TL,1585854211,70,-8.93,125.41,61.18,1.45
132,anadyr,67,RU,1585854211,84,64.75,177.48,-2.2,8.95
133,adrar,99,MR,1585854211,11,20.5,-10.07,95.99,8.66
134,hervey bay,5,AU,1585854211,94,-25.3,152.85,68.0,5.82
135,saryozek,94,KZ,1585854211,65,44.36,77.98,45.7,1.72
136,san rafael,2,AR,1585854211,17,-34.62,-68.33,74.44,10.58
137,jardim,98,BR,1585854211,33,-21.48,-56.14,96.15,5.91
138,marawi,43,PH,1585854211,70,8.0,124.29,65.17,2.75
139,tura,7,IN,1585854211,27,25.52,90.22,74.39,3.49
140,eregli,27,TR,1585854211,40,37.51,34.05,50.45,7.92
141,mandan,75,US,1585854172,85,46.83,-100.89,17.6,26.4
142,betare oya,33,CM,1585854212,45,5.6,14.08,80.51,3.4
143,zhigansk,47,RU,1585854212,93,66.77,123.37,2.23,1.41
144,parana,0,AR,1585854212,38,-31.73,-60.52,80.01,5.99
145,korla,100,CN,1585854212,28,41.76,86.15,50.36,7.45
146,verkhnevilyuysk,29,RU,1585854212,93,63.45,120.32,3.9,4.54
147,cuamba,8,MZ,1585854212,69,-14.8,36.54,67.89,5.82
148,kruisfontein,0,ZA,1585854212,78,-34.0,24.73,64.96,15.32
149,kobilja glava,0,BA,1585854212,63,43.88,18.39,36.19,1.03
150,lompoc,0,US,1585854007,34,34.64,-120.46,66.99,12.75
151,bottrop,75,DE,1585854212,57,51.52,6.92,50.0,10.29
152,dhidhdhoo,72,MV,1585854212,64,6.88,73.1,84.11,5.73
153,victoria,40,HK,1585854003,88,22.29,114.16,70.0,19.46
154,tautira,9,PF,1585854213,70,-17.73,-149.15,84.2,2.24
155,saint-philippe,30,RE,1585854213,88,-21.36,55.77,77.0,8.05
156,tual,100,ID,1585854213,87,-5.67,132.75,80.35,18.97
157,segovia,75,ES,1585854060,61,41.17,-4.0,53.01,5.82
158,ust-ilimsk,14,RU,1585854213,95,58.0,102.66,26.35,5.17
159,fairbanks,90,US,1585854017,72,64.84,-147.72,27.0,1.41
160,sobolevo,65,RU,1585854213,82,54.43,31.9,34.59,10.87
161,atbasar,42,KZ,1585854213,91,51.8,68.33,29.53,6.58
162,grootfontein,97,NA,1585854213,52,-19.57,18.12,67.26,7.14
163,hurghada,0,EG,1585854176,49,27.26,33.81,71.6,4.7
164,mogadishu,10,SO,1585854213,75,2.04,45.34,83.14,14.12
165,nome,90,US,1585854100,92,64.5,-165.41,21.0,13.87
166,gamba,33,GA,1585854213,84,-2.65,10.0,80.82,6.69
167,melfi,20,IT,1585854214,57,41.0,15.65,50.0,6.93
168,waverley,61,ZA,1585854214,59,-25.7,28.26,64.4,4.7
169,biryusinsk,0,RU,1585854214,83,55.96,97.82,32.63,4.14
170,vegachi,97,CO,1585854214,60,6.76,-74.79,78.44,2.15
171,kapit,98,MY,1585854214,93,2.02,112.93,74.16,1.21
172,berdigestyakh,52,RU,1585854214,88,62.1,126.7,0.64,7.58
173,mackay,40,AU,1585854214,94,-21.15,149.2,69.8,4.7
174,padang,100,ID,1585854214,77,-0.95,100.35,78.82,3.27
175,te anau,26,NZ,1585854214,78,-45.42,167.72,48.79,1.34
176,komsomolskiy,0,UZ,1585854214,62,40.43,71.72,51.8,6.93
177,chapais,90,CA,1585854214,69,49.78,-74.85,39.2,9.17
178,husavik,90,IS,1585854214,73,66.04,-17.34,24.8,18.34
179,thompson,90,CA,1585854215,94,55.74,-97.86,32.0,8.05
180,chuy,77,UY,1585854215,65,-33.7,-53.46,66.85,25.19
181,tymovskoye,99,RU,1585854215,87,50.85,142.66,28.38,7.65
182,cooma,21,AU,1585854215,66,-36.23,149.13,51.8,5.82
183,lasa,5,IT,1585854215,52,46.62,10.7,53.6,2.1
184,tasiilaq,5,GL,1585854215,49,65.61,-37.64,24.8,5.82
185,castro,47,BR,1585854215,35,-24.79,-50.01,82.31,8.97
186,iquique,5,CL,1585854215,56,-20.22,-70.14,73.4,17.22
187,baykit,84,RU,1585854216,94,61.67,96.37,30.31,6.62
188,gilleleje,99,DK,1585854216,60,56.12,12.31,44.01,28.86
189,emerald,0,AU,1585854216,94,-23.53,148.17,69.8,4.7
190,samana,20,DO,1585854216,70,19.21,-69.34,89.6,6.93
191,leningradskiy,0,RU,1585854216,84,69.38,178.42,0.03,4.12
192,basco,59,PH,1585854216,84,20.45,121.97,76.5,19.28
193,yerbogachen,11,RU,1585854216,90,61.28,108.01,9.75,5.1
194,haines junction,24,CA,1585854216,83,60.75,-137.51,18.81,1.66
195,bermeo,20,ES,1585854216,71,43.42,-2.72,53.01,8.05
196,marrakesh,20,MA,1585854217,34,31.63,-8.01,68.0,5.82
197,cayenne,90,GF,1585854217,83,4.93,-52.33,80.6,7.49
198,tezu,76,IN,1585854217,41,27.92,96.17,69.85,3.74
199,dubti,33,ET,1585854217,32,11.74,41.09,94.1,10.94
200,pisco,35,PE,1585854217,30,-13.7,-76.22,80.01,8.05
201,elat,0,IL,1585854000,33,29.56,34.95,73.4,9.17
202,metro,63,ID,1585854217,88,-5.11,105.31,76.73,1.39
203,carbonia,20,IT,1585854217,87,39.17,8.52,51.8,10.29
204,namatanai,92,PG,1585854217,75,-3.67,152.43,81.18,6.69
205,khash,1,IR,1585854217,24,28.22,61.22,65.34,1.92
206,shangzhi,9,CN,1585853975,71,45.22,127.97,32.18,5.37
207,loncoche,15,CL,1585854204,56,-39.37,-72.63,78.01,5.82
208,east london,38,ZA,1585854143,74,-33.02,27.91,68.77,20.27
209,palafrugell,20,ES,1585854218,87,41.92,3.16,53.01,4.7
210,narrabri,75,AU,1585854218,88,-30.32,149.78,64.99,1.72
211,llangefni,70,GB,1585854218,81,53.26,-4.31,50.0,4.7
212,broome,40,US,1585854218,48,42.25,-75.83,44.6,14.99
213,huarmey,20,PE,1585854218,54,-10.07,-78.15,82.92,9.71
214,tandil,0,AR,1585853968,46,-37.32,-59.13,69.01,10.0
215,grindavik,40,IS,1585854219,58,63.84,-22.43,32.0,18.34
216,fortuna,1,US,1585854219,61,40.6,-124.16,54.0,12.75
217,manggar,8,ID,1585854219,78,-2.88,108.27,81.41,4.94
218,ranfurly,30,NZ,1585854219,97,-45.13,170.1,50.0,1.19
219,ostrovnoy,83,RU,1585854219,94,68.05,39.51,16.03,7.96
220,riyadh,5,SA,1585854011,26,24.69,46.72,78.8,2.24
221,tres lagoas,44,BR,1585854220,58,-20.75,-51.68,86.95,7.0
222,jalu,0,LY,1585854220,19,29.03,21.55,75.2,10.07
223,west bay,20,KY,1585854083,65,19.37,-81.42,84.99,5.82
224,faanui,9,PF,1585854220,77,-16.48,-151.75,82.4,14.27
225,kaitangata,79,NZ,1585854221,83,-46.28,169.85,52.0,2.26
226,saldanha,0,ZA,1585854221,27,-33.01,17.94,77.0,11.41
227,clyde river,5,CA,1585854221,76,70.47,-68.59,-4.0,3.36
228,rasht,79,IR,1585854221,84,37.28,49.58,56.16,6.8
229,griffith,1,US,1585854173,41,41.53,-87.42,61.0,2.66
230,zharkent,87,KZ,1585854222,65,44.16,80.0,48.07,2.19
231,arraial do cabo,40,BR,1585854005,83,-22.97,-42.03,84.2,10.29
232,merauke,77,ID,1585854222,93,-8.47,140.33,77.09,7.52
233,phan thiet,2,VN,1585854222,84,10.93,108.1,75.58,10.38
234,chapleau,5,CA,1585854222,38,47.84,-83.4,42.8,9.17
235,tondano,20,ID,1585854223,94,1.3,124.91,75.2,1.34
236,buenos aires,20,AR,1585854042,40,-34.61,-58.38,73.4,8.05
237,mezhdurechensk,40,RU,1585854223,69,53.69,88.06,39.29,3.76
238,saskylakh,0,RU,1585854075,85,71.92,114.08,-12.46,8.34
239,santa rosa,20,PH,1585854223,65,14.31,121.11,80.6,3.36
240,ahipara,0,NZ,1585854223,72,-35.17,173.17,60.08,6.24
241,bonavista,10,CA,1585854223,87,48.65,-53.11,37.0,5.99
242,faya,9,SA,1585854223,82,18.39,42.45,68.0,4.29
243,katsuura,20,JP,1585854116,43,35.13,140.3,51.8,14.99
